id,name,street,postcode,city,province,lat,lon,starbucks_store_id,store_url,osm_id,source
alsea-sbux-082,Starbucks C.C Vialia Vigo,"Vigo-Urzaiz, Plaza Estacion 1, Vigo, Pontevedra",36201,Vigo,Pontevedra,42.2342,-8.71379,66801-301397,https://www.starbucks.co.uk/store-locator/66801-301397/sbux-c.c-vialia-vigo,,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-083,Starbucks Plaza Mayor 21,"Square Mayor, 21",37002,Salamanca,Salamanca,40.96525,-5.66462,56290-290197,https://www.starbucks.co.uk/store-locator/56290-290197/plaza-mayor-21,node/4449179962,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-084,Starbucks C.C. Siam Mall,"Siam Mall Shopping Center, 3 Siam Avenue",38670,Santa Cruz de Tenerife,Santa Cruz de Tenerife,28.06903,-16.72257,53004-284008,https://www.starbucks.co.uk/store-locator/53004-284008/c.c.-siam-mall,,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-085,Starbucks La Laguna,16 La Concepcion Square,38201,Santa Cruz de Tenerife,Santa Cruz de Tenerife,28.49534,-16.31772,57372-291468,https://www.starbucks.co.uk/store-locator/57372-291468/sbux-la-laguna,,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-086,Starbucks Sta Cruz Tnf Bethencourt Alfon,"Calle de S. Francisco, 9, 38002, Santa Cruz de Tenerife",38002,Santa Cruz de Tenerife,Santa Cruz de Tenerife,28.46761,-16.24909,85930-315748,https://www.starbucks.co.uk/store-locator/85930-315748/sta-cruz-tnf-bethencourt-alfon,,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-087,Starbucks Sevilla Fashion Outlet,"P Industrial Los Espartales, A4, KM 531, 41300 San Jose de la Rinconada, Sevilla",41300,San José de la Rinconada,Sevilla,37.43937,-5.88542,78409-308394,https://www.starbucks.co.uk/store-locator/78409-308394/sevilla-fashion-outlet,,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-088,Starbucks C.C. Lagoh,"Ronda de Circunvalacion, 614",41012,Sevilla,Sevilla,37.3435,-5.98683,58972-289059,https://www.starbucks.co.uk/store-locator/58972-289059/c.c.-lagoh,,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-089,Starbucks Sevilla Airside,Sevilla,41020,Sevilla,Sevilla,37.42121,-5.92512,68935-304111,https://www.starbucks.co.uk/store-locator/68935-304111/sevilla-airside,,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-090,Starbucks Sevilla C.C. Nervion Plaza,Calle Luis de Morales 3 41005 Sevilla,41005,Sevilla,Sevilla,37.38306,-5.9728,82070-311525,https://www.starbucks.co.uk/store-locator/82070-311525/sevilla-cc-nervion-plaza,,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-091,Starbucks Comercio 40,40 Comercio Street,45001,Toledo,Toledo,39.8592,-4.02229,53380-285009,https://www.starbucks.co.uk/store-locator/53380-285009/comercio-40,node/2648637547,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-092,Starbucks Bonaire,"Bonaire Shopping Center, Road A-3, km 345.",46960,Aldaia,Valencia,39.47152,-0.48791,15307-148964,https://www.starbucks.co.uk/store-locator/15307-148964/bonaire,way/299375809,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-093,Starbucks C.C. El Saler,"C.C El Saler, Avenida del Profesor Lopez Pinero 16",46013,Valencia,Valencia,39.4529,-0.35542,66492-301073,https://www.starbucks.co.uk/store-locator/66492-301073/cc-el-saler,,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-094,Starbucks Valencia Xativa 20,C de Xativa 20 46002 Valencia,46002,Valencia,Valencia,39.46759,-0.37803,81561-309280,https://www.starbucks.co.uk/store-locator/81561-309280/valencia-xativa-20,,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-095,Starbucks Valladolid C.C. Rio Shopping,"C. Me Falta un Tornillo, 3, 47195 Arroyo de la Encomienda, Valladolid",47195,Valladolid,Valladolid,41.6294,-4.78675,51814-307451,https://www.starbucks.co.uk/store-locator/51814-307451/valladolid-cc-rio-shopping,,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-096,Starbucks Valladolid Pza. Mayor,Plaza Mayor 15,47001,Valladolid,Valladolid,41.65156,-4.72909,80729-309969,https://www.starbucks.co.uk/store-locator/80729-309969/valladolid-pza.-mayor,node/5269915531,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-097,Starbucks Coso,15 Coso Street,50003,Zaragoza,Zaragoza,41.65348,-0.88223,51791-279345,https://www.starbucks.co.uk/store-locator/51791-279345/coso,node/5009097439,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-098,Starbucks Zaragoza Pso. Independencia 24,"Paseo de la Independencia, 24, Casco Antiguo, 50004 Zaragoza",50004,Zaragoza,Zaragoza,41.6501,-0.88341,86269-315912,https://www.starbucks.co.uk/store-locator/86269-315912/zaragoza-pso.-independencia-24,node/4343407889,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-099,Starbucks Puerto Venecia Zaragoza,"Puerto Venecia Shopping Center, 7 Travesia los Jardines Reales",50021,Zargoza,Zaragoza,41.60894,-0.88849,50309-266027,https://www.starbucks.co.uk/store-locator/50309-266027/puerto-venecia-zaragoza,node/5615267827,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-100,Starbucks Vitoria Plaza de La Virgen Bla,CALLE PRADO 2 VITORIA GASTEIZ 01005,01005,Vitoria,Álava,42.84648,-2.67334,85038-313266,https://www.starbucks.co.uk/store-locator/85038-313266/vitoria-plaza-de-la-virgen-bla,node/537986489,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
