id,name,street,postcode,city,province,lat,lon,osm_id,osm_url,opening_hours,source
jti-xtanco-071,Estanco Jesús del Kiosko,Avenida de Murcia 27,30180,Bullas,Murcia,38.050221,-1.668757,node/10737239904,https://www.openstreetmap.org/node/10737239904,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-072,Estanco,Calle Pintor Almela Costa 12,30011,Murcia,Murcia,37.975266,-1.120453,node/5284467895,https://www.openstreetmap.org/node/5284467895,Mo-Sa 09:00-21:00,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-073,Estanco Marqués de los Vélez,Avenida Marqués de los Vélez 4,30008,Murcia,Murcia,37.992492,-1.128407,node/11491182123,https://www.openstreetmap.org/node/11491182123,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-074,Estanco La Paz,Avenida de Velázquez 61,29004,Málaga,Málaga,36.695713,-4.450539,node/12390142209,https://www.openstreetmap.org/node/12390142209,24/7,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-075,Boquerón de Oro,Calle Lagunillas 66,29012,Málaga,Málaga,36.726344,-4.415009,node/5186363523,https://www.openstreetmap.org/node/5186363523,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-076,Estanco nº 1,Plaza de la Constitución,11340,San Martín del Tesorillo,Málaga,36.341839,-5.320145,node/12470276708,https://www.openstreetmap.org/node/12470276708,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-077,Estanco Cerezo,Avenida de Andalucía 15,29793,Torrox-Costa,Málaga,36.730051,-3.960552,node/11377436548,https://www.openstreetmap.org/node/11377436548,Mo-Fr 08:30-21:00; Sa 09:00-21:00; Su 09:00-14:00,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-078,Estanco N° 12,Calle Benjamín de Tudela 26 trasera,31008,Pamplona/Iruña,Navarra,42.808907,-1.673637,node/11473506669,https://www.openstreetmap.org/node/11473506669,"Mo-Fr 09:00-13:30, 17:00-19:30; Sa 09:30-13:30",OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-079,Estanco Casa Rafael,Avenida de Ourense,32760,O Castro de Caldelas,Ourense,42.374579,-7.416163,node/4728201277,https://www.openstreetmap.org/node/4728201277,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-080,Estanco,Rúa Manuel de Castro 1,36210,Vigo,Pontevedra,42.214393,-8.741515,node/4947159493,https://www.openstreetmap.org/node/4947159493,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-081,Estanco Lasiete,Avenida Cambados 9,36600,Vilagarcía de Arousa,Pontevedra,42.589019,-8.772179,node/12430347827,https://www.openstreetmap.org/node/12430347827,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-082,Estanco 6,Calle Rúa Mayor 12,37002,Salamanca,Salamanca,40.963697,-5.664923,node/2730739195,https://www.openstreetmap.org/node/2730739195,"Mo-Su 09:00-14:30,16:00-21:00",OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-083,Estanco Expenduría N°1,Real 13,41220,Burguillos,Sevilla,37.584648,-5.967954,node/11992667365,https://www.openstreetmap.org/node/11992667365,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-084,Estanco,Calle Nuestra Señora de Valme,41701,Dos Hermanas,Sevilla,37.28407,-5.92221,node/4068293528,https://www.openstreetmap.org/node/4068293528,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-085,La Cava de Betis,Calle Betis 39,41010,Sevilla,Sevilla,37.383273,-5.99981,node/5845851209,https://www.openstreetmap.org/node/5845851209,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-086,Tabacos,Calle Asencio y Toledo 28,41014,Sevilla,Sevilla,37.32488,-5.967533,node/12967212486,https://www.openstreetmap.org/node/12967212486,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-087,Estanco,Carrer Pere Martell 14,43005,Tarragona,Tarragona,41.116641,1.244515,node/988124781,https://www.openstreetmap.org/node/988124781,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-088,Estanc la Sénia,Carrer de Jaume I 5,43560,la Sénia,Tarragona,40.635035,0.279883,node/13936803125,https://www.openstreetmap.org/node/13936803125,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-089,Estanco,Calle Real 92,45200,Illescas,Toledo,40.126245,-3.847643,node/1486122094,https://www.openstreetmap.org/node/1486122094,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-090,Estanco nº10,Calle Cardenal Tavera 10,45003,Toledo,Toledo,39.865191,-4.023654,node/2630142519,https://www.openstreetmap.org/node/2630142519,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-091,Estanco patacona,Avinguda Mare Nostrum 1,46120,Alboraia / Alboraya,Valencia,39.485015,-0.326505,node/2700020670,https://www.openstreetmap.org/node/2700020670,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-092,Estanco Nº 1,Carrer Arquebisbe Fabià Fuero 24,46110,Godella,Valencia,39.521253,-0.414501,node/13896137853,https://www.openstreetmap.org/node/13896137853,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-093,Tabacos Exp. N2,Carrer de la Preciosíssima Sang 21,46210,Picanya,Valencia,39.43384,-0.435039,node/11748341002,https://www.openstreetmap.org/node/11748341002,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-094,Tabacs EXP. NÚM 7,Gran Via de les Germanies 84,46760,Tavernes de la Valldigna,Valencia,39.073802,-0.261871,node/13754856389,https://www.openstreetmap.org/node/13754856389,"Mo-Sa 08:00-14:00,17:00-20:30",OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-095,Estanco Santa Catalina,Plaça de Santa Catalina 9,46001,València,Valencia,39.473968,-0.376157,node/850179222,https://www.openstreetmap.org/node/850179222,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-096,Estanc Ruiz,Carrer dels Maulets 6,46800,Xàtiva,Valencia,38.991514,-0.518613,node/13620604572,https://www.openstreetmap.org/node/13620604572,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-097,Estanco Mini Market,Paseo de Zorrilla 158,47006,Valladolid,Valladolid,41.633512,-4.740248,node/9241068550,https://www.openstreetmap.org/node/9241068550,24/7,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-098,Estanco 103,Paseo de Fernando el Católico 56,50006,Zaragoza,Zaragoza,41.639262,-0.896786,node/4985405613,https://www.openstreetmap.org/node/4985405613,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-099,Expendeduría Ateca 3,Avenida Goya 2,50200,Ateca,Zaragoza,41.330321,-1.791531,node/13428366339,https://www.openstreetmap.org/node/13428366339,"Mo-Fr 09:00-13:25, 17:00-20:00;Sa 09:00-13:25",OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-100,Tabacos Lakua,Donostia kalea 64,01010,Vitoria,Álava,42.866247,-2.691393,node/7154667096,https://www.openstreetmap.org/node/7154667096,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
